city,birthday,id,Name,email
Honolulu,23-08-1992,351,Gerald Roosevelt,Gerald_Roosevelt351@yahoo.com
Augusta,09-05-1973,352,Ronald Adams,Ronald_Adams352@hotmail.com
Frankfort,03-05-1976,353,William Coolidge,William_Coolidge353@hotmail.com
Helena,18-11-1978,354,Bill Jefferson,Bill_Jefferson354@hotmail.com
Sacramento,25-10-1989,355,Franklin Johnson,Franklin_Johnson355@yahoo.com
Springfield,21-03-1980,356,Benjamin Clinton,Benjamin_Clinton356@hotmail.com
Pierre,21-07-1977,357,Franklin Roosevelt,Franklin_Roosevelt357@gmail.com
Columbus,20-03-1984,358,Theodore Taft,Theodore_Taft358@yahoo.com
Jackson,06-08-1990,359,Herbert Madison,Herbert_Madison359@gmail.com
Bismarck,11-10-1987,360,Theodore Carter,Theodore_Carter360@hotmail.com
Harrisburg,18-11-1975,361,John Harrison,John_Harrison361@hotmail.com
Helena,17-08-1990,362,Thomas Taft,Thomas_Taft362@yahoo.com
Saint Paul,03-03-1977,363,Woodrow Jefferson,Woodrow_Jefferson363@gmail.com
Frankfort,25-06-1992,364,John Fillmore,John_Fillmore364@hotmail.com
Charleston,22-09-1985,365,Ulysses Polk,Ulysses_Polk365@mac.com
Trenton,19-10-1995,366,John Clinton,John_Clinton366@hotmail.com
Lincoln,02-02-1985,367,Thomas Harrison,Thomas_Harrison367@yahoo.com
Frankfort,06-11-1989,368,Woodrow Jefferson,Woodrow_Jefferson368@gmail.com
Pierre,05-01-1987,369,Woodrow Harrison,Woodrow_Harrison369@mac.com
Richmond,14-05-1976,370,Woodrow Eisenhower,Woodrow_Eisenhower370@hotmail.com
Dover,22-12-1991,371,Chester Cleveland,Chester_Cleveland371@yahoo.com
Denver,13-06-1973,372,Calvin Roosevelt,Calvin_Roosevelt372@hotmail.com
Lincoln,22-04-1970,373,Millard Grant,Millard_Grant373@yahoo.com
Charleston,25-12-1992,374,Andrew Coolidge,Andrew_Coolidge374@hotmail.com
Providence,03-05-1992,375,Ulysses Wilson,Ulysses_Wilson375@mac.com
Sacramento,28-04-1993,376,Grover Harding,Grover_Harding376@hotmail.com
Tallahassee,16-08-1992,377,Dwight Jefferson,Dwight_Jefferson377@gmail.com
Pierre,13-05-1971,378,Lyndon McKinley,Lyndon_McKinley378@mac.com
Olympia,19-08-1985,379,Benjamin Harding,Benjamin_Harding379@gmail.com
Salt Lake City,10-11-1974,380,Ronald Hayes,Ronald_Hayes380@yahoo.com
Dover,09-12-1970,381,Millard Tyler,Millard_Tyler381@hotmail.com
Juneau,24-02-1978,382,Bill Wilson,Bill_Wilson382@hotmail.com
Helena,27-05-1994,383,Theodore Nixon,Theodore_Nixon383@mac.com
Columbus,30-12-1986,384,Herbert Tyler,Herbert_Tyler384@gmail.com
Richmond,08-04-1980,385,James Kennedy,James_Kennedy385@yahoo.com
Helena,20-10-1990,386,Dwight Monroe,Dwight_Monroe386@yahoo.com
Little Rock,28-08-1995,387,Millard Johnson,Millard_Johnson387@hotmail.com
Hartford,05-12-1984,388,Theodore Jackson,Theodore_Jackson388@hotmail.com
Baton Rouge,07-07-1977,389,Millard Roosevelt,Millard_Roosevelt389@gmail.com
Trenton,27-04-1980,390,Andrew Hayes,Andrew_Hayes390@yahoo.com
Indianapolis,10-05-1986,391,John Fillmore,John_Fillmore391@mac.com
Columbus,05-03-1976,392,Theodore Fillmore,Theodore_Fillmore392@hotmail.com
Boise,01-12-1977,393,Benjamin Roosevelt,Benjamin_Roosevelt393@yahoo.com
Boise,25-11-1981,394,George Cleveland,George_Cleveland394@gmail.com
Tallahassee,01-02-1988,395,Millard Reagan,Millard_Reagan395@yahoo.com
Sacramento,21-01-1973,396,Millard Jefferson,Millard_Jefferson396@mac.com
Jackson,04-03-1995,397,Benjamin Coolidge,Benjamin_Coolidge397@gmail.com
Des Moines,11-07-1984,398,Warren Quincy,Warren_Quincy398@mac.com
Augusta,30-11-1977,399,Andrew Taft,Andrew_Taft399@gmail.com
Austin,21-08-1978,400,John Garfield,John_Garfield400@hotmail.com
Salem,02-04-1992,401,Richard Hayes,Richard_Hayes401@hotmail.com
Little Rock,17-06-1990,402,Warren Harding,Warren_Harding402@mac.com
Harrisburg,11-05-1992,403,Warren Garfield,Warren_Garfield403@hotmail.com
Little Rock,07-01-1993,404,Rutherford Fillmore,Rutherford_Fillmore404@mac.com
Providence,01-11-1985,405,Jimmy Kennedy,Jimmy_Kennedy405@hotmail.com
Raleigh,21-08-1971,406,Ulysses Wilson,Ulysses_Wilson406@yahoo.com
Frankfort,07-08-1975,407,Harry Coolidge,Harry_Coolidge407@gmail.com
Columbia,08-02-1975,408,Martin Lincoln,Martin_Lincoln408@yahoo.com
Honolulu,13-06-1979,409,Ulysses Johnson,Ulysses_Johnson409@hotmail.com
Little Rock,27-12-1995,410,Millard Adams,Millard_Adams410@yahoo.com
Richmond,30-09-1982,411,Warren Grant,Warren_Grant411@hotmail.com
Trenton,17-09-1980,412,Dwight Roosevelt,Dwight_Roosevelt412@yahoo.com
Salem,26-03-1972,413,Calvin Jackson,Calvin_Jackson413@yahoo.com
Springfield,06-09-1990,414,Ulysses Truman,Ulysses_Truman414@mac.com
Jefferson City,23-05-1971,415,William Arthur,William_Arthur415@yahoo.com
Harrisburg,09-03-1970,416,John Quincy,John_Quincy416@gmail.com
Charleston,02-06-1978,417,Ronald Garfield,Ronald_Garfield417@mac.com
Raleigh,07-04-1987,418,George Adams,George_Adams418@gmail.com
Annapolis,22-03-1974,419,Martin Ford,Martin_Ford419@yahoo.com
Olympia,03-05-1974,420,Richard Reagan,Richard_Reagan420@yahoo.com
Little Rock,01-06-1992,421,Thomas Carter,Thomas_Carter421@gmail.com
Pierre,19-09-1977,422,Herbert Harrison,Herbert_Harrison422@yahoo.com
Oklahoma City,12-11-1989,423,Rutherford Madison,Rutherford_Madison423@mac.com
Santa Fe,09-11-1981,424,Grover Tyler,Grover_Tyler424@gmail.com
Providence,14-08-1990,425,Woodrow Grant,Woodrow_Grant425@mac.com
Salt Lake City,08-06-1992,426,Ronald Wilson,Ronald_Wilson426@mac.com
Harrisburg,15-11-1994,427,Grover Madison,Grover_Madison427@yahoo.com
Santa Fe,15-02-1977,428,Harry Adams,Harry_Adams428@mac.com
Boise,25-10-1982,429,Ulysses Tyler,Ulysses_Tyler429@gmail.com
Bismarck,19-02-1971,430,Ulysses Carter,Ulysses_Carter430@hotmail.com
Springfield,11-11-1985,431,Abraham Harrison,Abraham_Harrison431@mac.com
Salem,02-06-1985,432,Theodore Cleveland,Theodore_Cleveland432@mac.com
Hartford,26-04-1970,433,Benjamin Reagan,Benjamin_Reagan433@gmail.com
Trenton,13-08-1985,434,Dwight Tyler,Dwight_Tyler434@yahoo.com
Nashville,29-10-1986,435,Gerald Harding,Gerald_Harding435@gmail.com
Pierre,23-07-1982,436,James Reagan,James_Reagan436@mac.com
Springfield,21-09-1979,437,Ronald Eisenhower,Ronald_Eisenhower437@mac.com
Jefferson City,09-07-1995,438,Richard Ford,Richard_Ford438@yahoo.com
Lansing,16-08-1982,439,James Jackson,James_Jackson439@mac.com
Olympia,14-12-1993,440,Rutherford Roosevelt,Rutherford_Roosevelt440@mac.com
Helena,09-05-1977,441,Theodore Arthur,Theodore_Arthur441@hotmail.com
Hartford,11-12-1981,442,Bill Kennedy,Bill_Kennedy442@hotmail.com
Trenton,10-08-1973,443,Warren Harrison,Warren_Harrison443@hotmail.com
Atlanta,27-01-1980,444,Jimmy Eisenhower,Jimmy_Eisenhower444@gmail.com
Columbus,07-05-1989,445,Grover Taylor,Grover_Taylor445@hotmail.com
Albany,25-12-1977,446,Bill Van Buren,Bill_Van_Buren446@mac.com
Nashville,09-06-1982,447,William Clinton,William_Clinton447@hotmail.com
Columbia,21-04-1989,448,Zachary Jefferson,Zachary_Jefferson448@yahoo.com
Columbus,07-06-1972,449,Theodore Roosevelt,Theodore_Roosevelt449@hotmail.com
Helena,15-03-1983,450,George Johnson,George_Johnson450@mac.com
Phoenix,22-01-1974,451,Martin Grant,Martin_Grant451@mac.com
Pierre,08-04-1993,452,Harry Hayes,Harry_Hayes452@gmail.com
Baton Rouge,03-05-1994,453,Franklin Hayes,Franklin_Hayes453@gmail.com
Sacramento,29-12-1982,454,Abraham Harrison,Abraham_Harrison454@yahoo.com
Madison,24-10-1987,455,Harry McKinley,Harry_McKinley455@hotmail.com
Annapolis,06-07-1989,456,Benjamin Van Buren,Benjamin_Van_Buren456@hotmail.com
Columbia,22-11-1982,457,Theodore Ford,Theodore_Ford457@hotmail.com
Denver,20-11-1981,458,Herbert Harrison,Herbert_Harrison458@mac.com
Honolulu,03-10-1974,459,Calvin Eisenhower,Calvin_Eisenhower459@yahoo.com
Baton Rouge,18-08-1994,460,Harry Jefferson,Harry_Jefferson460@yahoo.com
Salem,14-10-1992,461,Harry Adams,Harry_Adams461@yahoo.com
Richmond,22-09-1985,462,Calvin Truman,Calvin_Truman462@yahoo.com
Albany,06-02-1977,463,Zachary Tyler,Zachary_Tyler463@hotmail.com
Phoenix,20-10-1992,464,John Clinton,John_Clinton464@gmail.com
Hartford,24-12-1988,465,Millard Truman,Millard_Truman465@yahoo.com
Augusta,22-10-1971,466,Calvin Grant,Calvin_Grant466@yahoo.com
Augusta,14-11-1986,467,Jimmy Lincoln,Jimmy_Lincoln467@gmail.com
Sacramento,28-09-1982,468,James Lincoln,James_Lincoln468@hotmail.com
Lincoln,15-10-1991,469,Millard Jackson,Millard_Jackson469@yahoo.com
Nashville,20-11-1989,470,Grover Cleveland,Grover_Cleveland470@mac.com
Honolulu,31-08-1990,471,Lyndon Adams,Lyndon_Adams471@mac.com
Lansing,17-01-1980,472,Grover Grant,Grover_Grant472@gmail.com
Helena,18-08-1972,473,Woodrow Johnson,Woodrow_Johnson473@hotmail.com
Lincoln,26-02-1991,474,Jimmy Harrison,Jimmy_Harrison474@yahoo.com
Nashville,16-08-1979,475,Ronald Quincy,Ronald_Quincy475@gmail.com
Charleston,25-12-1987,476,Ulysses Lincoln,Ulysses_Lincoln476@hotmail.com
Richmond,07-06-1981,477,Harry Monroe,Harry_Monroe477@mac.com
Salt Lake City,25-01-1970,478,Herbert Ford,Herbert_Ford478@gmail.com
Nashville,12-07-1989,479,George Wilson,George_Wilson479@mac.com
Honolulu,11-09-1975,480,Ronald Pierce,Ronald_Pierce480@mac.com
Olympia,22-09-1972,481,Millard Adams,Millard_Adams481@hotmail.com
Tallahassee,13-02-1990,482,Thomas Roosevelt,Thomas_Roosevelt482@gmail.com
Augusta,15-02-1976,483,Martin Jefferson,Martin_Jefferson483@hotmail.com
Lincoln,06-10-1980,484,Theodore Roosevelt,Theodore_Roosevelt484@mac.com
Indianapolis,08-05-1993,485,James Reagan,James_Reagan485@yahoo.com
Salem,24-07-1976,486,Richard Johnson,Richard_Johnson486@mac.com
Boise,08-07-1980,487,Jimmy Arthur,Jimmy_Arthur487@gmail.com
Providence,12-04-1985,488,Theodore Taft,Theodore_Taft488@yahoo.com
Jefferson City,24-11-1990,489,Benjamin Monroe,Benjamin_Monroe489@gmail.com
Harrisburg,15-12-1990,490,Millard Monroe,Millard_Monroe490@gmail.com
Juneau,28-10-1973,491,Millard Johnson,Millard_Johnson491@gmail.com
Olympia,23-03-1994,492,Ronald Adams,Ronald_Adams492@yahoo.com
Honolulu,28-09-1983,493,Andrew Polk,Andrew_Polk493@yahoo.com
Baton Rouge,23-09-1986,494,Harry Truman,Harry_Truman494@hotmail.com
Atlanta,01-12-1991,495,Zachary Tyler,Zachary_Tyler495@gmail.com
Columbia,11-05-1991,496,Bill Arthur,Bill_Arthur496@hotmail.com
Augusta,14-10-1981,497,Chester Grant,Chester_Grant497@mac.com
Tallahassee,27-07-1994,498,Abraham Harrison,Abraham_Harrison498@hotmail.com
Denver,21-05-1975,499,James McKinley,James_McKinley499@yahoo.com
Austin,13-06-1993,500,Martin Roosevelt,Martin_Roosevelt500@mac.com
Little Rock,14-11-1982,501,Bill Madison,Bill_Madison501@yahoo.com
Lincoln,22-10-1970,502,Andrew Carter,Andrew_Carter502@hotmail.com
Des Moines,14-08-1977,503,Harry Johnson,Harry_Johnson503@mac.com
Saint Paul,23-12-1981,504,Ulysses Taylor,Ulysses_Taylor504@mac.com
Nashville,25-10-1979,505,William Pierce,William_Pierce505@hotmail.com
Madison,17-08-1971,506,William Reagan,William_Reagan506@mac.com
Carson City,02-02-1974,507,Grover Hayes,Grover_Hayes507@hotmail.com
Olympia,10-03-1985,508,Harry Garfield,Harry_Garfield508@yahoo.com
Topeka,19-02-1991,509,Chester Jefferson,Chester_Jefferson509@gmail.com
Phoenix,08-04-1990,510,William Nixon,William_Nixon510@yahoo.com
Harrisburg,09-10-1987,511,Rutherford Johnson,Rutherford_Johnson511@yahoo.com
Richmond,19-08-1985,512,Rutherford Jackson,Rutherford_Jackson512@mac.com
Jefferson City,18-06-1972,513,Dwight Harrison,Dwight_Harrison513@yahoo.com
Providence,08-02-1990,514,Franklin Grant,Franklin_Grant514@mac.com
Tallahassee,30-09-1971,515,Warren Roosevelt,Warren_Roosevelt515@hotmail.com
Little Rock,20-01-1978,516,William Tyler,William_Tyler516@hotmail.com
Little Rock,23-07-1985,517,Woodrow Nixon,Woodrow_Nixon517@mac.com
Lansing,25-08-1990,518,Benjamin Roosevelt,Benjamin_Roosevelt518@yahoo.com
Little Rock,10-12-1981,519,Lyndon Johnson,Lyndon_Johnson519@yahoo.com
Providence,26-09-1982,520,Theodore Eisenhower,Theodore_Eisenhower520@yahoo.com
Columbia,21-01-1988,521,Millard Arthur,Millard_Arthur521@gmail.com
Augusta,08-06-1985,522,Jimmy Jefferson,Jimmy_Jefferson522@hotmail.com
Annapolis,29-01-1977,523,Franklin McKinley,Franklin_McKinley523@yahoo.com
Frankfort,01-04-1975,524,William Kennedy,William_Kennedy524@gmail.com
Richmond,29-10-1984,525,James Johnson,James_Johnson525@gmail.com
Saint Paul,20-11-1990,526,Harry Nixon,Harry_Nixon526@gmail.com
Madison,28-09-1986,527,Ulysses Ford,Ulysses_Ford527@hotmail.com
Sacramento,03-08-1979,528,Jimmy Grant,Jimmy_Grant528@mac.com
Jefferson City,12-01-1982,529,Ulysses Adams,Ulysses_Adams529@hotmail.com
Little Rock,13-01-1979,530,Gerald Hayes,Gerald_Hayes530@hotmail.com
Harrisburg,20-08-1984,531,Chester McKinley,Chester_McKinley531@gmail.com
Frankfort,08-10-1973,532,Herbert Eisenhower,Herbert_Eisenhower532@mac.com
Raleigh,26-10-1990,533,Lyndon McKinley,Lyndon_McKinley533@yahoo.com
Charleston,02-03-1993,534,Bill Madison,Bill_Madison534@hotmail.com
Juneau,01-01-1974,535,Millard Van Buren,Millard_Van_Buren535@yahoo.com
Trenton,23-10-1984,536,Lyndon Pierce,Lyndon_Pierce536@mac.com
Madison,16-09-1989,537,William Grant,William_Grant537@mac.com
Hartford,04-06-1991,538,Thomas Monroe,Thomas_Monroe538@mac.com
Juneau,11-03-1986,539,Thomas Cleveland,Thomas_Cleveland539@yahoo.com
Jefferson City,17-02-1970,540,Gerald Ford,Gerald_Ford540@hotmail.com
Annapolis,14-08-1988,541,Grover Nixon,Grover_Nixon541@hotmail.com
Richmond,01-04-1977,542,Franklin Johnson,Franklin_Johnson542@mac.com
Columbus,31-05-1979,543,John Garfield,John_Garfield543@yahoo.com
Columbus,08-05-1992,544,George McKinley,George_McKinley544@yahoo.com
Richmond,30-07-1973,545,Franklin Buchanan,Franklin_Buchanan545@yahoo.com
Columbus,24-10-1987,546,Jimmy Madison,Jimmy_Madison546@mac.com
Olympia,20-08-1988,547,Gerald Harding,Gerald_Harding547@hotmail.com
Albany,24-07-1972,548,Bill Cleveland,Bill_Cleveland548@mac.com
Indianapolis,22-01-1979,549,Chester Johnson,Chester_Johnson549@hotmail.com
Indianapolis,23-04-1979,550,Martin Harding,Martin_Harding550@yahoo.com
Concord,01-09-1993,551,Rutherford Reagan,Rutherford_Reagan551@hotmail.com
Providence,02-12-1970,552,Martin McKinley,Martin_McKinley552@gmail.com
Frankfort,19-01-1989,553,Grover Reagan,Grover_Reagan553@mac.com
Helena,08-03-1986,554,Andrew Kennedy,Andrew_Kennedy554@yahoo.com
Boise,22-05-1986,555,Abraham Quincy,Abraham_Quincy555@hotmail.com
Springfield,25-09-1993,556,Woodrow Pierce,Woodrow_Pierce556@hotmail.com
Augusta,21-09-1991,557,Martin Polk,Martin_Polk557@hotmail.com
Columbia,12-04-1995,558,William Kennedy,William_Kennedy558@gmail.com
Bismarck,18-02-1990,559,Franklin Wilson,Franklin_Wilson559@hotmail.com
Jackson,09-12-1989,560,Gerald Adams,Gerald_Adams560@hotmail.com
Richmond,11-10-1992,561,Franklin Grant,Franklin_Grant561@gmail.com
Madison,17-11-1989,562,Rutherford Monroe,Rutherford_Monroe562@gmail.com
Harrisburg,14-04-1992,563,Jimmy Ford,Jimmy_Ford563@mac.com
Springfield,20-12-1971,564,Franklin Hayes,Franklin_Hayes564@mac.com
Raleigh,30-06-1974,565,Thomas Arthur,Thomas_Arthur565@mac.com
Little Rock,08-09-1994,566,George Grant,George_Grant566@mac.com
Montgomery,22-12-1984,567,Andrew McKinley,Andrew_McKinley567@gmail.com
Indianapolis,19-01-1988,568,Martin Hayes,Martin_Hayes568@hotmail.com
Harrisburg,19-05-1995,569,Rutherford Fillmore,Rutherford_Fillmore569@hotmail.com
Boston,12-09-1978,570,Benjamin Nixon,Benjamin_Nixon570@gmail.com
Lincoln,30-12-1970,571,Herbert Clinton,Herbert_Clinton571@gmail.com
Richmond,10-12-1984,572,Rutherford Jackson,Rutherford_Jackson572@gmail.com
Albany,25-07-1975,573,Grover Arthur,Grover_Arthur573@gmail.com
Salem,27-12-1992,574,John Tyler,John_Tyler574@mac.com
Annapolis,30-10-1973,575,Abraham Jefferson,Abraham_Jefferson575@gmail.com
Lansing,13-01-1990,576,John Eisenhower,John_Eisenhower576@yahoo.com
Santa Fe,02-10-1986,577,Grover Pierce,Grover_Pierce577@hotmail.com
Sacramento,17-06-1984,578,Chester Grant,Chester_Grant578@gmail.com
Juneau,24-11-1986,579,Bill Reagan,Bill_Reagan579@mac.com
Nashville,30-11-1975,580,Ulysses Johnson,Ulysses_Johnson580@hotmail.com
Boston,17-12-1993,581,Richard Jackson,Richard_Jackson581@yahoo.com
Juneau,02-06-1974,582,James Eisenhower,James_Eisenhower582@yahoo.com
Boston,07-12-1978,583,Ronald Hoover,Ronald_Hoover583@mac.com
Jefferson City,18-04-1992,584,Chester Garfield,Chester_Garfield584@mac.com
Helena,29-10-1971,585,Franklin Madison,Franklin_Madison585@hotmail.com
Lincoln,17-02-1991,586,Calvin Roosevelt,Calvin_Roosevelt586@gmail.com
Boise,06-07-1994,587,Richard Hoover,Richard_Hoover587@gmail.com
Columbus,04-06-1980,588,Harry Taft,Harry_Taft588@hotmail.com
Baton Rouge,06-08-1992,589,Lyndon Grant,Lyndon_Grant589@mac.com
Little Rock,18-04-1977,590,Theodore Roosevelt,Theodore_Roosevelt590@mac.com
Annapolis,18-10-1972,591,Millard Taft,Millard_Taft591@yahoo.com
Columbus,28-10-1984,592,Ronald Polk,Ronald_Polk592@mac.com
Oklahoma City,04-11-1986,593,Gerald Harding,Gerald_Harding593@gmail.com
Boise,18-05-1971,594,Bill Johnson,Bill_Johnson594@hotmail.com
Salt Lake City,18-05-1973,595,George Washington,George_Washington595@yahoo.com
Montpelier,09-07-1995,596,Abraham McKinley,Abraham_McKinley596@mac.com
Baton Rouge,02-10-1995,597,George Fillmore,George_Fillmore597@gmail.com
Saint Paul,26-11-1977,598,James Adams,James_Adams598@hotmail.com
Concord,03-05-1990,599,James Adams,James_Adams599@gmail.com
Harrisburg,25-08-1979,600,William Johnson,William_Johnson600@gmail.com
Denver,23-02-1992,601,Thomas Eisenhower,Thomas_Eisenhower601@mac.com
Concord,30-08-1981,602,Warren Madison,Warren_Madison602@mac.com
Concord,12-06-1991,603,Millard Buchanan,Millard_Buchanan603@hotmail.com
Columbia,18-06-1985,604,Rutherford Roosevelt,Rutherford_Roosevelt604@yahoo.com
Austin,19-02-1985,605,George Adams,George_Adams605@hotmail.com
Topeka,19-10-1988,606,Jimmy Pierce,Jimmy_Pierce606@yahoo.com
Lincoln,15-07-1987,607,Woodrow Harrison,Woodrow_Harrison607@gmail.com
Hartford,20-10-1993,608,Ulysses Ford,Ulysses_Ford608@yahoo.com
Olympia,12-06-1979,609,Benjamin Wilson,Benjamin_Wilson609@hotmail.com
Jefferson City,07-11-1977,610,Lyndon Madison,Lyndon_Madison610@yahoo.com
Salem,06-01-1989,611,William Johnson,William_Johnson611@yahoo.com
Olympia,07-12-1971,612,William Eisenhower,William_Eisenhower612@gmail.com
Dover,24-05-1984,613,William Wilson,William_Wilson613@yahoo.com
Raleigh,01-09-1981,614,Richard Taft,Richard_Taft614@hotmail.com
Phoenix,02-08-1992,615,Ronald Harrison,Ronald_Harrison615@mac.com
Columbia,20-10-1986,616,Thomas Hoover,Thomas_Hoover616@mac.com
Boston,29-07-1981,617,Harry Clinton,Harry_Clinton617@yahoo.com
Providence,13-04-1975,618,Richard Adams,Richard_Adams618@mac.com
Boston,05-02-1985,619,Ronald Kennedy,Ronald_Kennedy619@yahoo.com
Columbia,02-10-1974,620,Bill Roosevelt,Bill_Roosevelt620@hotmail.com
Raleigh,20-02-1994,621,Theodore Jefferson,Theodore_Jefferson621@mac.com
Tallahassee,25-08-1972,622,Thomas Ford,Thomas_Ford622@mac.com
Albany,22-07-1977,623,George Hoover,George_Hoover623@mac.com
Augusta,03-08-1986,624,James Reagan,James_Reagan624@yahoo.com
Bismarck,21-10-1984,625,Grover Harrison,Grover_Harrison625@yahoo.com
Frankfort,07-05-1981,626,Harry Grant,Harry_Grant626@mac.com
Dover,02-05-1978,627,George Pierce,George_Pierce627@yahoo.com
Columbia,06-02-1985,628,James Reagan,James_Reagan628@mac.com
Augusta,25-06-1985,629,Thomas Madison,Thomas_Madison629@yahoo.com
Hartford,02-03-1984,630,Abraham Polk,Abraham_Polk630@yahoo.com
Austin,05-07-1970,631,Theodore Roosevelt,Theodore_Roosevelt631@gmail.com
Hartford,30-12-1987,632,Harry Tyler,Harry_Tyler632@yahoo.com
Little Rock,05-08-1977,633,Dwight Taft,Dwight_Taft633@yahoo.com
Oklahoma City,10-08-1986,634,Woodrow Roosevelt,Woodrow_Roosevelt634@mac.com
Columbia,21-05-1984,635,Calvin Nixon,Calvin_Nixon635@hotmail.com
Atlanta,23-03-1971,636,Harry Roosevelt,Harry_Roosevelt636@yahoo.com
Charleston,16-01-1978,637,Benjamin Kennedy,Benjamin_Kennedy637@yahoo.com
Cheyenne,20-04-1987,638,Harry Jackson,Harry_Jackson638@hotmail.com
Lincoln,07-03-1992,639,James Van Buren,James_Van_Buren639@gmail.com
Carson City,23-09-1987,640,Ronald Garfield,Ronald_Garfield640@hotmail.com
Hartford,09-11-1979,641,Rutherford Roosevelt,Rutherford_Roosevelt641@mac.com
Jefferson City,09-05-1988,642,Martin Coolidge,Martin_Coolidge642@mac.com
Lansing,11-11-1975,643,Warren Cleveland,Warren_Cleveland643@yahoo.com
Providence,19-08-1994,644,Franklin Johnson,Franklin_Johnson644@hotmail.com
Columbus,26-06-1994,645,James Pierce,James_Pierce645@gmail.com
Montpelier,02-08-1980,646,Abraham Adams,Abraham_Adams646@hotmail.com
Nashville,19-02-1973,647,James Eisenhower,James_Eisenhower647@yahoo.com
Austin,21-10-1973,648,Bill Monroe,Bill_Monroe648@mac.com
Saint Paul,07-10-1974,649,Bill Garfield,Bill_Garfield649@yahoo.com
Springfield,15-09-1994,650,Herbert Garfield,Herbert_Garfield650@gmail.com
Montgomery,01-09-1984,651,Franklin Roosevelt,Franklin_Roosevelt651@hotmail.com
Frankfort,05-11-1994,652,John Harrison,John_Harrison652@gmail.com
Lansing,20-07-1995,653,William Eisenhower,William_Eisenhower653@yahoo.com
Helena,19-05-1971,654,Ulysses Reagan,Ulysses_Reagan654@hotmail.com
Raleigh,19-05-1989,655,Gerald Truman,Gerald_Truman655@gmail.com
Juneau,11-07-1973,656,Warren Fillmore,Warren_Fillmore656@yahoo.com
Pierre,02-01-1977,657,Bill Arthur,Bill_Arthur657@mac.com
Salt Lake City,17-03-1983,658,Ronald Adams,Ronald_Adams658@gmail.com
Boston,19-12-1976,659,Dwight Tyler,Dwight_Tyler659@yahoo.com
Albany,30-07-1970,660,Benjamin Washington,Benjamin_Washington660@yahoo.com
Lansing,25-07-1977,661,Thomas Ford,Thomas_Ford661@hotmail.com
Juneau,01-09-1989,662,Grover Fillmore,Grover_Fillmore662@yahoo.com
Juneau,21-07-1984,663,Zachary McKinley,Zachary_McKinley663@hotmail.com
Boise,12-12-1977,664,Martin Truman,Martin_Truman664@hotmail.com
Helena,21-07-1977,665,Richard Roosevelt,Richard_Roosevelt665@mac.com
Honolulu,23-11-1995,666,Harry Washington,Harry_Washington666@gmail.com
Lincoln,14-07-1994,667,Rutherford Taft,Rutherford_Taft667@mac.com
Frankfort,14-06-1985,668,Richard Harrison,Richard_Harrison668@mac.com
Bismarck,23-06-1972,669,Harry Hoover,Harry_Hoover669@yahoo.com
Baton Rouge,12-06-1978,670,Woodrow Kennedy,Woodrow_Kennedy670@mac.com
Concord,21-07-1992,671,Ulysses Carter,Ulysses_Carter671@gmail.com
Charleston,31-10-1976,672,Martin Taft,Martin_Taft672@mac.com
Little Rock,17-12-1972,673,Richard Pierce,Richard_Pierce673@hotmail.com
Juneau,28-11-1980,674,Ulysses Truman,Ulysses_Truman674@hotmail.com
Frankfort,05-09-1990,675,Lyndon Lincoln,Lyndon_Lincoln675@gmail.com
Indianapolis,28-03-1972,676,Andrew Wilson,Andrew_Wilson676@hotmail.com
Harrisburg,17-05-1976,677,Ronald Clinton,Ronald_Clinton677@hotmail.com
Lansing,07-07-1976,678,Zachary Taylor,Zachary_Taylor678@yahoo.com
Augusta,13-09-1976,679,Herbert Adams,Herbert_Adams679@hotmail.com
Boston,13-02-1974,680,Andrew Lincoln,Andrew_Lincoln680@gmail.com
Columbus,12-02-1975,681,Ronald Adams,Ronald_Adams681@mac.com
Dover,25-07-1978,682,Abraham Jefferson,Abraham_Jefferson682@mac.com
Bismarck,21-08-1984,683,Andrew Arthur,Andrew_Arthur683@gmail.com
Madison,15-07-1985,684,Lyndon Wilson,Lyndon_Wilson684@gmail.com
Indianapolis,12-07-1988,685,Warren Carter,Warren_Carter685@yahoo.com
Phoenix,04-11-1995,686,Ulysses Roosevelt,Ulysses_Roosevelt686@yahoo.com
Hartford,17-05-1987,687,Martin Grant,Martin_Grant687@yahoo.com
Augusta,18-11-1983,688,Abraham Truman,Abraham_Truman688@mac.com
Carson City,16-07-1975,689,Lyndon Hayes,Lyndon_Hayes689@yahoo.com
Des Moines,08-12-1975,690,Grover Madison,Grover_Madison690@mac.com
Trenton,23-06-1988,691,Richard Grant,Richard_Grant691@yahoo.com
Phoenix,02-01-1993,692,Woodrow Johnson,Woodrow_Johnson692@yahoo.com
Olympia,23-11-1978,693,Bill Roosevelt,Bill_Roosevelt693@mac.com
Augusta,28-05-1983,694,Harry Adams,Harry_Adams694@gmail.com
Raleigh,05-03-1988,695,Andrew Taft,Andrew_Taft695@mac.com
Juneau,15-10-1980,696,Calvin Arthur,Calvin_Arthur696@yahoo.com
Madison,17-02-1994,697,James Harding,James_Harding697@yahoo.com
Denver,19-12-1975,698,Millard Monroe,Millard_Monroe698@gmail.com
Annapolis,29-06-1992,699,Jimmy Johnson,Jimmy_Johnson699@mac.com
Boston,28-01-1985,700,Richard Adams,Richard_Adams700@mac.com
Raleigh,24-02-1992,701,Martin Truman,Martin_Truman701@yahoo.com
